source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_excess_noise,visibility_periods_used,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,plx_snr,pm_tot,vt_kms,log_ruwe,log_noise,tension_score
4915737301751402368,23.025936476563615,-53.598045299330884,24.546480798821346,0.6982242,-82.08327135217257,0.71054155,20.37656566279513,0.6821628,89.19043,8.320475,31,14.087738,15.104082,12.330383,2.408398,,,False,,35.15558649994547,84.5746289621456,16.3332371203058,1.9503182,0.969438,2.9197562
4928347433108236416,14.23177290647748,-51.87546502553087,31.82989178757504,0.87054956,106.55306245947483,0.71196264,5.7690226264010125,0.82633024,65.453636,9.574432,31,8.788604,9.345057,8.025312,1.284613,0.017852262,0.66392344,False,,36.562986491485724,106.70912211032697,15.892337789467554,1.8159338,1.0242571,2.840191
5599574508495310848,114.36518722138187,-29.21841000971281,20.60891828127482,0.8267572,13.110676641866803,0.7651916,-80.27950724454976,0.8265627,59.83281,8.286204,27,13.752552,15.085046,12.250704,1.891169,1.9099436,2.0359848,False,,24.9274133511582,81.34303366260266,18.710550720020876,1.7769394,0.9678382,2.7447777
5805136969048123264,257.03608189057064,-69.60558528169821,23.448769767841966,0.7788986,-50.10634140366888,0.51985675,-88.94418314650292,0.7624647,61.268482,7.6668105,29,12.168547,13.354303,10.721546,1.8392367,,,False,,30.10503532202212,102.08679231154085,20.63815633572268,1.7872372,0.9378593,2.7250965
4621878289355122560,69.76331025042394,-81.91627752169192,31.114344698003304,0.6817075,15.40467213840077,0.76895994,287.23186471487395,0.81327546,49.81452,7.7599893,28,12.606128,13.922322,11.403348,1.490222,27.878328,0.7125143,False,,45.64178131175432,287.64465583645955,43.82450843454742,1.697356,0.9425036,2.6398597
1476094811262603264,201.3679486589072,37.71954766221739,31.027105138988414,0.9197376,-210.33050867858307,0.5495639,35.81672420815689,0.6692781,49.412502,7.445161,24,13.733575,14.734554,11.988296,2.3889573,-22.201937,14.257463,False,,33.73473684244244,213.35829164575415,32.59790355133737,1.6938368,0.9266079,2.6204448
2157225359678799232,278.06069350796685,57.472621392212325,21.93987651105806,0.567568,-118.51824796409154,0.6907176,92.8127168356931,0.71506053,47.580658,7.0737915,27,13.033968,14.249062,11.847853,1.4918681,-12.448914,1.0005955,False,,38.65594316691234,150.53496439997068,32.52554691132649,1.6774304,0.90707755,2.584508
2039606129792672640,290.1771773798632,30.54745050011687,20.17848709343876,0.5769821,39.586538472869776,0.66922677,85.36638260962526,0.541612,55.340992,5.4616404,24,13.476478,14.100525,11.7961,2.3868,4.6675267,10.042657,False,,34.97246753432867,94.09842351557718,22.10625363820921,1.743047,0.8103428,2.5533898
1761587197303801984,313.8831982312859,14.141927539149288,23.090606039252027,0.8245388,47.41431705494436,0.7459931,-156.5731910876764,0.6052969,51.513554,5.9329047,19,8.838723,9.2689295,8.231004,1.2246786,-5.1155496,3.023523,False,4950.8223,28.00426770062078,163.59487042436513,33.585804291246376,1.7119215,0.8409152,2.5528367
5852426100862268544,210.03013880928268,-63.56494126462717,26.604953281253934,0.7097479,120.05100618974681,0.50851834,-218.335096683777,0.629253,43.671837,7.1709805,29,11.786607,12.894518,10.724323,1.381159,29.294548,0.5973264,False,,37.48507447176197,249.16351765674864,44.39595018490549,1.6402014,0.9122742,2.5524757
