source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,ruwe,parallax_error,pmra_error,pmdec_error
17674619351804672,51.2874177604655,13.275631570219018,18.321003943266966,-7.065519413443887,-88.49780530558114,17.063295,0.7844211,0.11400037,0.12460811,0.098447844
17919668711041664,51.127760253774156,13.83846054204906,21.4157574698789,243.27901292251238,-37.42594563524938,14.311394,1.1111869,0.022151284,0.027551603,0.021124696
36164625361808128,56.35244595947063,10.673683121687649,18.89763656433152,-77.522229223883,-44.27844365652913,9.448895,1.0243692,0.015513023,0.01933064,0.013641502
38785345686459392,58.919563895121435,13.841444901615786,17.442370646651593,74.40541088217287,-63.943416096878465,16.027376,1.132905,0.051810563,0.0576427,0.039881844
40903142518352896,52.16801874449283,13.171557910452972,17.542041403804234,167.0817519544192,-11.007416238965753,14.044017,1.1444765,0.1894777,0.6482719,0.30727535
42716408993806080,53.144360113463925,16.153262423085778,20.589572721520184,140.88968315469907,-14.446369608778598,12.962056,1.3469818,0.024092358,0.028435603,0.021777272
43256818958530048,56.661622157673364,16.38592470904318,15.3598013609353,8.7276906416361,-132.21209604316047,14.913305,1.1461537,0.028998239,0.0353872,0.027206702
44197073198840064,54.01177612515252,16.46611373837813,23.239619559173992,-298.0307504104491,-305.165087186651,7.5167327,1.3095304,0.03288371,0.03845761,0.02960461
45789269114357632,64.3849411231356,16.949608497570036,23.0646447155953,122.36479154155062,-27.812591542335866,16.566332,1.0511117,0.09579824,0.115506604,0.07946917
47319961098840192,64.53807309193438,17.416130138912035,21.944709122364497,113.6904264767072,-27.897896176874692,14.702765,1.2429767,0.031130394,0.0342012,0.026363729
47541100375011968,65.38496942725972,18.41744025238449,20.885733460424145,110.44900990966732,-31.91854784127326,6.7013855,1.0341549,0.02385233,0.033146773,0.022845056
47881811540636800,65.98658444862387,18.63879538133933,17.00977577711063,88.85242072869505,-26.587395691147808,15.451751,1.0048102,0.03798898,0.043580227,0.03324826
48203487411427456,65.05456696075474,19.233321027772863,22.020045526274,114.58635515841462,-35.17157741985631,7.3269024,1.0189565,0.031044696,0.03226242,0.026032042
48377760004604800,65.66595245729097,20.352820824591983,15.099072249858748,-44.0948057563276,-155.8695599497641,16.27469,1.0843853,0.06830276,0.092542335,0.07385934
49518606397688704,64.82611370511218,21.719995876990215,29.958345063028514,74.03927929333523,-156.99812393051647,12.767507,1.2826312,0.022186438,0.02642848,0.018797638
58245258388824960,54.209013392387,21.097786498252834,19.593233700740182,381.73522786021294,66.60723717269369,12.20945,1.277386,0.01845198,0.02143627,0.016138848
60804990178866176,50.50049100376007,19.66371786438462,19.073541337924247,64.95977827103157,-8.311215464542702,15.437747,1.268524,0.056671385,0.06616793,0.052049063
66818769026836480,56.958684797085446,24.78477769646503,16.31699602451651,38.32408381091503,-106.61636106412017,16.275337,1.0360358,0.06485334,0.07108515,0.051092308
68230095278817792,54.896182221919915,24.229993458321953,20.374631952225013,56.62113997353973,-95.12961332007566,15.720553,1.153167,0.057462502,0.07324264,0.04876168
145391484855481344,67.00372585556586,21.619715671604588,20.158816761462322,97.09780452126684,-42.14035232196819,5.6573215,0.9711737,0.05548979,0.06632346,0.039725237
149956519694104704,63.70977050373054,24.376841301432634,19.819614887869765,105.75111782718503,-44.697807051739446,15.712513,1.0423055,0.044736315,0.057617582,0.04053576
