pixel_id,cf,star_count,mean_pm,rho_proxy,rho_norm,modification,A_linear,A_quadrature,force_loss_pct
1702,0.8959483904868945,876.0,6.68550979194895,1.0,1.0,0.2343922585730342,1.2343922585730343,1.0271025902406088,16.792852263352145
815,0.7169030886516076,861.0,7.623101422689111,0.9828767123287672,0.9828767123287672,0.20520934763964904,1.205209347639649,1.0208383203811906,15.297842455299671
903,0.9202161209686828,447.0,6.148294309930686,0.5102739726027398,0.5102739726027398,0.16652712614213092,1.1665271261421308,1.0137708240727572,13.09496355858952
2014,0.8339629585840576,456.0,6.241862398604263,0.5205479452054794,0.5205479452054794,0.15715697560237438,1.1571569756023743,1.0122738339898376,12.520612558820357
2012,0.8611556984127351,417.0,6.158749113367404,0.476027397260274,0.476027397260274,0.15421499485486428,1.1542149948548643,1.0118212612107367,12.33684662553122
1105,0.7580182837136867,449.0,9.557364140275872,0.5125570776255708,0.5125570776255708,0.14648391794827767,1.1464839179482778,1.0106718251823772,11.845965795049866
514,0.7619345536880769,433.0,4.421000977081452,0.4942922374429224,0.4942922374429224,0.14445359587947765,1.1444535958794777,1.0103795531197726,11.715113941048289
615,0.7674827473470515,426.0,3.5404655583366527,0.4863013698630137,0.4863013698630137,0.14403980729006155,1.1440398072900615,1.0103204769201493,11.688345940222066
413,0.7574193816322274,421.0,7.724285278175212,0.4805936073059361,0.4805936073059361,0.14200184453691955,1.1420018445369196,1.01003194199584,11.556014832409776
2010,0.7464180411925413,402.0,7.215042742286419,0.4589041095890411,0.4589041095890411,0.1376589304068912,1.1376589304068911,1.0094305231766916,11.27125220072222
1208,0.6817403990668048,420.0,12.472418474959156,0.4794520547945205,0.4794520547945205,0.13246233714458333,1.1324623371445832,1.0087349853959688,10.925515815438365
1209,0.6853922093381003,412.0,12.51125043938406,0.4703196347031963,0.4703196347031963,0.13168885508034528,1.1316888550803452,1.0086337068293783,10.873584881440806
1708,0.7675501197290681,338.0,10.44005157283093,0.3858447488584475,0.3858447488584475,0.13014724601790825,1.1301472460179083,1.0084335901020185,10.769716631593784
718,0.5956545559607297,443.0,6.871047880238717,0.5057077625570776,0.5057077625570776,0.12519758848937224,1.1251975884893723,1.007806745444559,10.432909228184164
1212,0.6593585404093386,384.0,16.6075173140676,0.4383561643835616,0.4383561643835616,0.1242231645156591,1.124223164515659,1.0076861587827257,10.366002890817514
507,0.5650522018075456,439.0,10.467926326246028,0.5011415525114156,0.5011415525114156,0.12077793231508747,1.1207779323150875,1.00726724802026,10.127847901176903
415,0.6933554065874104,319.0,5.781783779313756,0.3641552511415525,0.3641552511415525,0.11837551638370586,1.118375516383706,1.0069820072270947,9.960295761552858
1007,0.55757392809435,427.0,8.380981074457543,0.4874429223744292,0.4874429223744292,0.11809095829438292,1.118090958294383,1.006948595724174,9.940368602904513
2414,0.479237483726826,459.0,9.012789942058,0.523972602739726,0.523972602739726,0.11287637423059431,1.1128763742305943,1.0063503743028297,9.572132394437173
1717,0.474065315141114,423.0,12.298111582772732,0.4828767123287671,0.4828767123287671,0.10713995778721022,1.1071399577872103,1.0057231082930556,9.160255555842456
216,0.4201980398170851,447.0,5.868872451859154,0.5102739726027398,0.5102739726027398,0.1037680073948499,1.10376800739485,1.005369484000135,8.914783064509939
1818,0.3021270469079198,445.0,9.483499778715524,0.5079908675799086,0.5079908675799086,0.08868568048268834,1.0886856804826883,1.0039248726486845,7.785608771525647
414,0.686990691559907,122.0,6.968727288127838,0.13926940639269406,0.13926940639269406,0.08740984908580283,1.0874098490858028,1.003812971482837,7.6877064956921854
1709,0.7492260757194282,77.0,10.385938740467946,0.08789954337899543,0.08789954337899543,0.08700539340701109,1.0870053934070112,1.0037778332290013,7.656591281221614
2110,0.7927176806842331,45.0,5.716550541391313,0.05136986301369863,0.05136986301369863,0.08644484430305746,1.0864448443030574,1.0037294013361269,7.613404711768099
417,0.2565676077093048,440.0,3.108925220355484,0.502283105022831,0.502283105022831,0.08232855000563905,1.082328550005639,1.0033832718089488,7.294021597811391
